filename,contrast_00,contrast_45,contrast_90,contrast_135,corellation_00,corellation_45,corellation_90,corellation_135,homogeneity_00,homogeneity_45,homogeneity_90,homogeneity_135,entropy_00,entropy_45,entropy_90,entropy_135,variance_00,variance_45,variance_90,variance_135,r,g,b,h,s,i,grayscale,class
IMG_3789.JPG,25.08378444881855,53.41639283278529,45.33267716535405,70.68491536983059,0.0012217726473330742,0.0012137924287215598,0.00121658518213101,0.0012000695429917085,0.3960904926789085,0.27922433226368304,0.3050819252131527,0.25694036552261984,3.1382980773733817,3.2949902187634645,3.2578923216994844,3.3523055700360262,2.0552078853597187e-08,1.3220665949819708e-08,1.4916073095074915e-08,1.174085845588862e-08,0.6262949027267157,0.6097428864123775,0.7126225490196079,0.6476813821231617,0.032217945772058824,0.7832842658547794,0.6424419328278186,0
IMG_3794.JPG,65.27546751968488,99.5090830181661,63.36288139763781,106.2013144026288,0.0014336955875600503,0.0013991835043522293,0.0014434608682751544,0.0013915100035460787,0.3157972952682616,0.2518439459673686,0.2962592258448554,0.2494443607057345,3.2907811467804957,3.394195909539273,3.29753053666822,3.3974613055015683,1.719890761596418e-08,1.2813248182454955e-08,1.6409746128750478e-08,1.2253737948810789e-08,0.6857761757046569,0.6650361902573529,0.7661113664215686,0.7042987898284314,0.028642721737132355,0.8548579197303922,0.6977495978860294,0
IMG_3802.JPG,39.38379675196821,80.8789137578272,61.43054872047205,90.80810961621947,0.0012418778549278108,0.0012081535149297555,0.0012236457581439718,0.0012000557681154022,0.3838948702730305,0.2771197943885104,0.3015102002597505,0.25439394654156405,3.1132537035703187,3.2782930510506927,3.2270575815426916,3.310661706932621,3.610806450385422e-08,2.1289661055357698e-08,2.3725181305258442e-08,1.9267470593557065e-08,0.707827818627451,0.6885914522058824,0.7659103094362745,0.7194422104779412,0.02529464422487745,0.8227347579656863,0.7139502431832108,0
IMG_3874.JPG,13.734190452755945,32.333870667741216,17.921505905511786,24.729369458738955,0.0014244884606583077,0.0014301257076174956,0.0014465475333076201,0.0014385777186825721,0.5100278675813172,0.37103396645393094,0.43494633419568857,0.39315076869186794,2.8290170378353494,2.999439090447136,2.89959598155095,2.971890814952401,7.659458086323525e-08,4.827445496039883e-08,6.025812970346105e-08,5.0112412878090063e-08,0.7399775486366421,0.7280328488817402,0.7807696174172795,0.7475693646599265,0.019572897518382353,0.6867881625306372,0.7452311197916667,0
IMG_3885.JPG,29.22896161417279,55.805815611631125,35.06963582677158,55.54262508524983,0.0009701431439514223,0.0009654441524347589,0.0009733750766490977,0.0009655831340422056,0.4250149222301384,0.2785351951307536,0.3029517614683653,0.267629271305518,3.165259546177991,3.3379021406095135,3.269082661851357,3.3486193073996784,2.1543308872639695e-08,1.2789844829564291e-08,1.518431409082023e-08,1.2524988087765338e-08,0.6863927504595588,0.6786546894148284,0.7517422545189951,0.7030613319546568,0.02550814759497549,0.6186398973651961,0.7014208026960784,0
IMG_3887.JPG,20.72164124015725,41.697997395994626,30.812807578740067,44.310682621364876,0.0022623273844818237,0.0022224786216673022,0.0022531660901379145,0.0022153171944808096,0.48676584292560876,0.36951386617066995,0.43406077365099954,0.3712135994902623,2.887078559126382,3.0368515729220578,2.958626757324361,3.0523446274052373,4.244745583759371e-08,2.7549676695981156e-08,3.5155088636072345e-08,2.7755145230256814e-08,0.7527240827971814,0.7318548464307598,0.7927478266697304,0.7572483436734069,0.018705958946078433,0.8781896254595588,0.7524083754595589,0
IMG_3897.JPG,42.78081938976373,81.4196788393578,57.79576771653524,84.36592473184945,0.001971586675345503,0.0018894090644580878,0.0019395567102203169,0.0018835357184189738,0.3423417597708237,0.2405982700413557,0.28106135903597346,0.24997462372678397,3.1337297685991232,3.282807190186339,3.2108027321536805,3.27916267409194,2.762712460973357e-08,1.7639686022930876e-08,2.190083075172648e-08,1.8434595463502298e-08,0.706796204810049,0.6853494083180147,0.7651142195159314,0.7171183268229167,0.02184579886642157,0.8812064376531863,0.7116428749234068,0
IMG_3905.JPG,83.17279773621995,152.54715109430168,108.0174089566919,152.6018972037948,0.0015543100630299278,0.001459155576279787,0.0015219041671588934,0.0014591106588657916,0.3223666472385679,0.21972808782800732,0.24656377851455688,0.2173860655986327,3.2558804628969114,3.400410380435918,3.334646535265133,3.3981676864948165,2.2157540622126467e-08,1.3583887159783172e-08,1.645925999245764e-08,1.3706798753723978e-08,0.634057856541054,0.6474544749540441,0.6898932961856618,0.6549223058363971,0.022193100873161765,0.30601974188112746,0.6586511948529412,0
IMG_3916.JPG,101.921936515747,184.5644491288979,120.6912524606295,167.5581871163739,0.0009472404660398136,0.0009098562673252958,0.000940809836815323,0.0009184794857170517,0.21464124277975202,0.14688625416599785,0.17882467370360547,0.14917469652644758,3.5351414387635667,3.662656622484794,3.586064220242667,3.649570636590049,6.249847748732048e-09,4.249204710006726e-09,5.223279555241981e-09,4.422530293445086e-09,0.5056666953890931,0.49186293658088237,0.6282516180300245,0.5407678940716911,0.04392783969056373,0.6916197533700981,0.5342806946997549,0
IMG_3923.JPG,96.81914370078677,175.50970301940552,131.6294291338581,182.842643685287,0.0017221261850083964,0.0015782678654746964,0.0016566516383194037,0.0015649304825682325,0.2778702872891019,0.1974514975321144,0.2174411892587756,0.19116568427088718,3.313284646241475,3.435159754382512,3.3818308793222935,3.443583174663521,1.909486996561383e-08,1.2204233112119765e-08,1.433160740592755e-08,1.2150387803965313e-08,0.5799424115349264,0.6011836033241421,0.6698122510723039,0.615536439185049,0.029174086626838236,0.16927418428308824,0.6193495806525735,0
IMG_3931.JPG,196.94574311023536,321.34596069192213,221.3000738188969,302.64157728315695,0.0018215623120411658,0.0014755833168915355,0.0017664877800144933,0.0015295661175191307,0.12417382294728538,0.09896877735067526,0.11909142452578576,0.09882893418349646,3.4170815664356615,3.477765474987636,3.425695255976541,3.4722970703499896,1.4853552656298265e-08,1.2903616081303807e-08,1.4835359872926186e-08,1.2986329380954079e-08,0.5950994753370098,0.628366029028799,0.6641091739430147,0.6273325003829657,0.02116124770220588,0.12292073567708334,0.6353276271446079,0
